id,name,message,at
382,pepper <a>Creator</a> ,@ricky you can use this by going to Controls -> Command Prompt ->noafk,02:13pm
383,colack,hello,02:25pm
384,pepper <a>Creator</a> ,Hi,02:30pm
385,pepper <a>Creator</a> ,Refresh your page to get your name tag!,02:33pm
386,Announcement,pepper <a>Creator</a>  says: test,02:41pm
387,"colack <b style=""color:green"">Mod</b>  ",cool,02:42pm
388,"colack <b style=""color:green"">Mod</b>  ",hmm,02:42pm
389,"colack <b style=""color:green"">Mod</b>  ",why am i a mod,02:42pm
390,"colack <b style=""color:green"">Mod</b>  ",i though i bought the verified role,02:43pm
391,pepper <a>Creator</a> ,I promoted you,02:43pm
392,"colack <b style=""color:green"">Mod</b>  ",ah cool,02:43pm
393,pepper <a>Creator</a> ,You’ll keep this for life,02:43pm
394,"colack <b style=""color:green"">Mod</b>  ",nice,02:43pm
395,pepper <a>Creator</a> ,you know,02:43pm
396,"colack <b style=""color:green"">Mod</b>  ",?,02:43pm
397,pepper <a>Creator</a> ,you know this position is for life,02:44pm
398,"colack <b style=""color:green"">Mod</b>  ",yeah,02:44pm
399,pepper <a>Creator</a> ,Ok ,02:44pm
400,"colack <b style=""color:green"">Mod</b>  ",imma hop on wut world,02:44pm
401,pepper <a>Creator</a> ,Ok,02:44pm
402,pepper <a>Creator</a> ,I’ll give you your credentials for mod on wut world  ,02:45pm
403,pepper <a>Creator</a> ,Like in the 1 to 1 chat,02:45pm
404,pepper <a>Creator</a> ,Tomorrow…. At 11am,02:45pm
405,pepper <a>Creator</a> ,Hi,05:50pm
406,pepper <a>Creator</a> ,WOWWWWW,09:04am
407,pepper <a>Creator</a> ,hi,06:19pm
408,pepper <a>Creator</a> ,you there?,06:19pm
409,pepper <a>Creator</a> ,WOW anthony,06:19pm
410,Anthony <i>Co-Creator</i>,yes,06:20pm
411,pepper <a>Creator</a> ,hi,06:20pm
412,pepper <a>Creator</a> ,you placed an order for mod 1 week,06:20pm
413,Anthony <i>Co-Creator</i>,hi,06:20pm
414,pepper <a>Creator</a> ,yes,06:20pm
415,Anthony <i>Co-Creator</i>,yes,06:20pm
416,pepper <a>Creator</a> ,uh just wait a sec,06:20pm
417,pepper <a>Creator</a> ,sorry,06:21pm
418,pepper <a>Creator</a> ,never mind,06:21pm
419,pepper <a>Creator</a> ,thats 5499 messages for 1 week of mod,06:21pm
420,pepper <a>Creator</a> ,but youre og... so i can give you a discount,06:21pm
421,Anthony <i>Co-Creator</i>,i know,06:21pm
422,pepper <a>Creator</a> ,redeem it tommorow at 8am,06:21pm
423,pepper <a>Creator</a> ,i mean 8 30 am,06:21pm
424,Anthony <i>Co-Creator</i>,ok,06:21pm
425,pepper <a>Creator</a> ,if your ok?,06:22pm
426,Anthony <i>Co-Creator</i>,ok,06:22pm
427,pepper <a>Creator</a> ,your og meaning you get 95% discount,06:22pm
428,Anthony <i>Co-Creator</i>,LETS GOOOOOO!!!!!!,06:22pm
429,pepper <a>Creator</a> ,i mean 99,06:22pm
430,Anthony <i>Co-Creator</i>,YyyYYyYYEEEeSSSSS,06:22pm
431,pepper <a>Creator</a> ,but you have to type 54.99 messages,06:22pm
432,pepper <a>Creator</a> ,total,06:23pm
433,pepper <a>Creator</a> ,oops have to afk for 30 minutes,06:23pm
434,Anthony <i>Co-Creator</i>,ok,06:24pm
435,Anthony <i>Co-Creator</i>,y,06:24pm
436,Anthony <i>Co-Creator</i>,yy,06:24pm
437,Anthony <i>Co-Creator</i>,y,06:24pm
438,Anthony <i>Co-Creator</i>,t,06:25pm
439,Anthony <i>Co-Creator</i>,tt,06:25pm
440,Anthony <i>Co-Creator</i>,ttt,06:25pm
441,Anthony <i>Co-Creator</i>,t,06:25pm
442,Anthony <i>Co-Creator</i>,t,06:25pm
443,Anthony <i>Co-Creator</i>,t,06:25pm
444,Anthony <i>Co-Creator</i>,t,06:25pm
445,Anthony <i>Co-Creator</i>,sorry for the sanoping,06:25pm
446,Anthony <i>Co-Creator</i>,sorry for the sanoping\,06:25pm
447,Anthony <i>Co-Creator</i>,yee,06:25pm
448,Anthony <i>Co-Creator</i>,bye,06:25pm
449,pepper <a>Creator</a> ,hi,06:49pm
450,pepper <a>Creator</a> ,again,06:49pm
451,pepper <a>Creator</a> ,@pment test,07:03pm
452,pepper <a>Creator</a> ,@pment,07:04pm
453,pepper <a>Creator</a> ,@pment,07:04pm
454,pepper <a>Creator</a> ,@pment,07:05pm
455,pepper <a>Creator</a> ,@pment,07:05pm
456,pepper <a>Creator</a> ,@pment,07:05pm
457,pepper <a>Creator</a> ,@pment,07:05pm
458,pepper <a>Creator</a> ,-_-,07:06pm
459,pepper <a>Creator</a> ,@pment,07:06pm
460,pepper <a>Creator</a> ,@PMENT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,07:06pm
461,pepper <a>Creator</a> ,>:(,07:06pm
462,pepper <a>Creator</a> ,-_- *sighs(,07:06pm
463,Anthony <i>Co-Creator</i>,what,07:11pm
464,Anthony <i>Co-Creator</i>,What do you mean by @pment,07:12pm
465,pepper <a>Creator</a> ,i was testing stuff,07:15pm
466,pepper <a>Creator</a> ,uh please refresh,07:15pm
467,Anthony <i>Co-Creator</i>,ok',07:16pm
468,Anthony <i>Co-Creator</i>,ok',07:16pm
469,pepper <a>Creator</a> ,ok you back?,07:16pm
470,"Anthony <b style=""color:green"">Mod</b>",yes,07:16pm
471,pepper <a>Creator</a> ,huh,07:17pm
472,pepper <a>Creator</a> ,https://studio.code.org/projects/applab/ld5ZvZwLG0OdOVoXwTKjA5BH2uc7eA7T7kb6GJi9UCI,07:17pm
473,"Anthony <b style=""color:green"">Mod</b>",why did you Change my name,07:17pm
474,pepper <a>Creator</a> ,Check out my bot at 1 day,07:17pm
475,"Anthony <b style=""color:green"">Mod</b>",ok,07:17pm
476,pepper <a>Creator</a> ,wait change your name? its supposed to be like that.,07:17pm
477,"Anthony <b style=""color:green"">Mod</b>",why,07:17pm
478,pepper <a>Creator</a> ,thats how titles work,07:19pm
479,pepper <a>Creator</a> ,but what d y mean?,07:19pm
480,pepper <a>Creator</a> ,h e l l o?,07:21pm
481,pepper <a>Creator</a> ,well welp,07:21pm
482,pepper <a>Creator</a> ,"it seems you r in conversation with @pment sadcat5, i talked to happycat5 before",07:22pm
483,pepper <a>Creator</a> ,haha,07:22pm
484,pepper <a>Creator</a> ,what silly names,07:22pm
485,pepper <a>Creator</a> ,depressedmango12,07:22pm
486,pepper <a>Creator</a> ,pfffffffffffffffffft,07:22pm
487,"Anthony <b style=""color:green"">Mod</b>",i talked to sadcat5,07:22pm
488,pepper <a>Creator</a> ,ik,07:24pm
489,pepper <a>Creator</a> ,i talked to happycat5,07:24pm
490,pepper <a>Creator</a> ,did you see this?,07:24pm
491,pepper <a>Creator</a> ,"did you see this?(1) - Pepper's Access Consent  Hello there, and welcome to Pepper's Chat Bot Area.  Before you start, please be aware that we use data tables to store user information (usernames, passwords, secret codes), and we may also track how many users are visiting this website. Conversations will be recorded. We would ask politely if you agree to this act. Please DO NOT visit this website if you say NO.",07:24pm
492,"Anthony <b style=""color:green"">Mod</b>",what do i need to do When it says Thanks for checking your device! What do you want to do? Send a if you want to ask FAQs.,07:24pm
493,pepper <a>Creator</a> ,type a,07:24pm
494,pepper <a>Creator</a> ,'a',07:24pm
495,"Anthony <b style=""color:green"">Mod</b>",ok,07:24pm
496,pepper <a>Creator</a> ,a,07:24pm
497,"Anthony <b style=""color:green"">Mod</b>",then what,07:25pm
498,pepper <a>Creator</a> ,then exit the tab,07:25pm
499,pepper <a>Creator</a> ,the call had ended,07:25pm
500,pepper <a>Creator</a> ,welp the system likes the word 'depressed',07:26pm
501,"Anthony <b style=""color:green"">Mod</b>",done,07:26pm
502,pepper <a>Creator</a> ,likke depressedstrawberry and depressedmango and depressedbanana,07:26pm
503,pepper <a>Creator</a> ,ANTHONY!!!!,07:27pm
504,pepper <a>Creator</a> ,ANTHONY!!!!GOOD NEWS!!!!!!,07:27pm
505,"Anthony <b style=""color:green"">Mod</b>",ok why,07:27pm
506,pepper <a>Creator</a> ,YOU JUST WON THE 500th MESSAGE!!!,07:27pm
507,"Anthony <b style=""color:green"">Mod</b>",WHAT THE ####!!!,07:27pm
508,Announcement,pepper <a>Creator</a>  says: anthony just won the 500th message,07:27pm
509,Announcement,pepper <a>Creator</a>  says: you are really good at catching the right moment,07:28pm
510,Announcement,pepper <a>Creator</a>  says: IM ANNOUNCING THIS,07:28pm
511,Announcement,pepper <a>Creator</a>  has gone AFK.,07:28pm
512,Announcement,pepper <a>Creator</a>  has come back from AFK.,07:28pm
513,Announcement,pepper <a>Creator</a>  needs to go.,07:28pm
514,Announcement,pepper <a>Creator</a>  has come back from AFK.,07:28pm
515,"Anthony <b style=""color:green"">Mod</b>",who is annoouncement,07:29pm
516,Announcement,pepper <a>Creator</a>  says: free way to spam without getting caught,07:29pm
517,"Anthony <b style=""color:green"">Mod</b>",is it pepper?,07:29pm
518,pepper <a>Creator</a> ,its me,07:29pm
519,pepper <a>Creator</a> ,yeah,07:29pm
520,pepper <a>Creator</a> ,yeahthe system,07:29pm
521,"Anthony <b style=""color:green"">Mod</b>",ohhhhhh,07:29pm
522,Announcement,pepper <a>Creator</a>  says: ITs mE,07:30pm
523,pepper <a>Creator</a> ,bruh,07:30pm
524,"Anthony <b style=""color:green"">Mod</b>",how  can you do the Announcement pepper?,07:31pm
525,pepper <a>Creator</a> ,mod stuff,07:31pm
526,pepper <a>Creator</a> ,"sorry anthony, i have to go",07:31pm
527,pepper <a>Creator</a> ,parents like me to do stuff,07:31pm
528,pepper <a>Creator</a> ,see you at 8:30am!,07:31pm
529,pepper <a>Creator</a> ,bye,07:31pm
530,"Anthony <b style=""color:green"">Mod</b>",i am a mod how come i cant do it ?,07:32pm
531,"Anthony <b style=""color:green"">Mod</b>",ok bye,07:32pm
532,Announcement,pepper <a>Creator</a>  says: test it seems weird... why i can login to my mod account while others cant....?,08:21pm
533,pepper <a>Creator</a> ,huh,08:21pm
534,pepper <a>Creator</a> ,huh,08:23pm
535,pepper <a>Creator</a> ,huh,08:23pm
536,pepper <a>Creator</a> ,huhhuh,08:23pm
537,Announcement,pepper <a>Creator</a>  says: and now i can login but all others failed ?!,08:23pm
538,Announcement,pepper <a>Creator</a>  says: YAY! NOW EVERYONE SIGNED UP AS MOD CAN LOG IN!!!!,08:32pm
539,pepper <a>Creator</a> ,test,09:35pm
540,pepper <a>Creator</a> ,huh,09:35pm
541,pepper <a>Creator</a> ,hi,09:36pm
542,pepper <a>Creator</a> ,:),09:36pm
543,pepper <a>Creator</a> ,message,09:37pm
544,"Anthony <b style=""color:green"">Mod</b>",hi,07:36am
545,pepper <a>Creator</a> ,Hi,07:55am
546,Announcement,"pepper <a>Creator</a>  says: Are you there, Anthony?",07:56am
547,pepper <a>Creator</a> ,Hi?,07:57am
548,"Anthony <b style=""color:green"">Mod</b>",hi,07:58am
549,"Anthony <b style=""color:green"">Mod</b>",sorry i was in wut world,07:58am
550,pepper <a>Creator</a> ,:),07:59am
551,"Anthony <b style=""color:green"">Mod</b>",:),07:59am
552,"Anthony <b style=""color:green"">Mod</b>",so did you reset the chat?,08:00am
553,pepper <a>Creator</a> ,I fixed the login issue ,08:00am
554,pepper <a>Creator</a> ,Before that it can only login to mine,08:01am
555,"Anthony <b style=""color:green"">Mod</b>",ohhhhh,08:01am
556,"Anthony <b style=""color:green"">Mod</b>",ohhhhhok,08:01am
557,pepper <a>Creator</a> ,And no,08:01am
558,pepper <a>Creator</a> ,I didnt,08:01am
559,"Anthony <b style=""color:green"">Mod</b>",ok,08:01am
560,pepper <a>Creator</a> ,I have your login,08:02am
561,pepper <a>Creator</a> ,I have your login,08:02am
562,pepper <a>Creator</a> ,Lemme give you the username and code anode and secret number,08:02am
563,pepper <a>Creator</a> ,username: xxxxxxx,08:03am
564,"Anthony <b style=""color:green"">Mod</b>",what is a code and a secret number and what is it for?,08:03am
565,pepper <a>Creator</a> ,code: xxxxxx,08:04am
566,"Anthony <b style=""color:green"">Mod</b>",ok,08:04am
567,pepper <a>Creator</a> ,Secret num: xxx,08:04am
568,"Anthony <b style=""color:green"">Mod</b>",ok but what is it for?,08:05am
569,pepper <a>Creator</a> ,It’s for login to mod,08:05am
570,"Anthony <b style=""color:green"">Mod</b>",ohhhhhhhhh,08:05am
571,pepper <a>Creator</a> ,"Go to Controls 5(3; rules, and then click The header ‘rules of chat",08:07am
572,pepper <a>Creator</a> ,‘,08:07am
573,pepper <a>Creator</a> ,So yeah,08:08am
574,Announcement,pepper <a>Creator</a>  says: TEST!,08:09am
575,pepper <a>Creator</a> ,bruh,08:10am
576,"Anthony <b style=""color:green"">Mod</b>",ok,08:10am
577,pepper <a>Creator</a> ,U logged in yet?,08:11am
578,"Anthony <b style=""color:green"">Mod</b>",done wow it looks cool,08:13am
579,Announcement,pepper <a>Creator</a>  has gone AFK.,08:13am
580,Announcement,pepper <a>Creator</a>  has come back from AFK.,08:13am
581,pepper <a>Creator</a> ,Thanks :),08:14am
582,Announcement,"Anthony <b style=""color:green"">Mod</b> says: pepper has gone AFK",08:14am
583,Announcement,pepper <a>Creator</a>  has come back from AFK.,08:14am
584,"Anthony <b style=""color:green"">Mod</b>",bruh,08:15am
585,pepper <a>Creator</a> ,B r u h!!!,08:15am
586,"Anthony <b style=""color:green"">Mod</b>",whats mod space,08:16am
587,pepper <a>Creator</a>,"Sorry Anthony, the system busted me for spamming",08:20am
588,pepper <a>Creator</a>,"Sorry Anthony, the system busted me for spamming",08:20am
589,"Anthony <b style=""color:green"">Mod</b>",ok,08:21am
590,pepper <a>Creator</a>,I got <b>sus</b>pended,08:22am
591,pepper <a>Creator</a>,The system thought I was <b>sus</b>,08:24am
592,"Anthony <b style=""color:green"">Mod</b>",It do not work on the peppers chapter 3It does not work on pepper chat 3How long does you workit do not work onpepper chat,08:24am
593,"Anthony <b style=""color:green"">Mod</b>",It do not work on the peppers chapter 3It does not work on pepper chat 3How long does you workit do not work onpepper chat43,08:24am
594,pepper <a>Creator</a>,What do you mean?,08:24am
595,"Anthony <b style=""color:green"">Mod</b>",sorry,08:24am
596,pepper <a>Creator</a>,It’s fine.,08:25am
597,"Anthony <b style=""color:green"">Mod</b>", I mean it does not work on peppers chat 3,08:25am
598,"Anthony <b style=""color:green"">Mod</b>", I mean it does not work on peppers chat 3,08:25am
599,"Anthony <b style=""color:green"">Mod</b>", I mean it does not work on peppers chat 3,08:25am
600,"Anthony <b style=""color:green"">Mod</b>", I mean it does not work on peppers chat 3,08:25am
601,"Anthony <b style=""color:green"">Mod</b>",idk whay,08:26am
602,pepper <a>Creator</a>,Like the mod login?,08:27am
603,"Anthony <b style=""color:green"">Mod</b>",yes,08:27am
604,pepper <a>Creator</a>,I didn’t upgrade it there yet…,08:28am
605,"Anthony <b style=""color:green"">Mod</b>",ohhhh ok,08:28am
606,pepper <a>Creator</a>,Most upgrades go here,08:28am
607,"Anthony <b style=""color:green"">Mod</b>",Can you make morn mod options,08:30am
608,pepper <a>Creator</a>,Yeah,08:30am
609,"Anthony <b style=""color:green"">Mod</b>",like server,08:30am
610,pepper <a>Creator</a>,"I just can’t do it no w, I’m on a tablet. And I spent 45 minutes on the",08:31am
611,pepper <a>Creator</a>,Remixing and making it the best it could e,08:32am
612,peppersucks,Pepper sucks,08:33am
613,pepper <a>Creator</a>,Yeyeah,08:33am
614,"Anthony <b style=""color:green"">Mod</b>",and what is mod space,08:34am
615,"Anthony <b style=""color:green"">Mod</b>",who is peppersucks,08:34am
616,pepper <a>Creator</a>,Where mods do stuff it’s just a header,08:34am
617,"Anthony <b style=""color:green"">Mod</b>",ok,08:35am
618,peppersucks,Pepper sucks,08:35am
619,peppersucks,Pepper sucks,08:35am
620,peppersucks,Pepper sucks,08:35am
621,"Anthony <b style=""color:green"">Mod</b>",ok so what,08:35am
622,pepper <a>Creator</a>,Stop idiot!,08:35am
623,pepper <a>Creator</a>,(Not Anthony),08:36am
624,peppersucks,Pepper sucks,08:36am
625,peppersucks,er sucks,08:36am
626,peppersucks,er sucks,08:36am
627,pepper <a>Creator</a>,-_-,08:37am
628,pepper <a>Creator</a>,WDYM Anthony y?,08:39am
629,"Anthony <b style=""color:green"">Mod</b>",bye i am going to wacht You watchby I am going to watch YouTube,08:40am
630,pepper <a>Creator</a>,Ok,08:41am
631,pepper <a>Creator</a>,Hiiiii,08:45am
632,itsme,hi,11:29am
633,itsme,anyone?,11:30am
634,itsme,pepper?,11:31am
635,Pickle,hello?,10:23am
636,"Anthony <b style=""color:green"">Mod</b>",hi,10:33am
637,Announcement,"Anthony <b style=""color:green"">Mod</b> says: ",10:38am
638,"Anthony <b style=""color:green"">Mod</b>",bruh,10:39am
639,"Anthony <b style=""color:green"">Mod</b>",bruh,10:39am
640,Announcement,"Anthony <b style=""color:green"">Mod</b> says: all",10:39am
641,"Anthony <b style=""color:green"">Mod</b>",bruh,10:42am
642,beluga,hi,10:45am
643,pepper <a>Creator</a> ,hi,10:59am
644,pepper <a>Creator</a> ,???,10:59am
645,pepper <a>Creator</a> ,100 views,11:00am
646,pepper <a>Creator</a> ,test,11:01am
647,pepper <a>Creator</a> ,HI PICKLE!!!!!!!!!!!!!!!,11:03am
648,pepper <a>Creator</a> ,:),11:03am
649,pepper <a>Creator</a> ,:|,11:04am
650,pepper <a>Creator</a> ,WHAT?!,11:20am
651,pepper <a>Creator</a> ,WHYYYYY,11:20am
652,"Anthony <b style=""color:green"">Mod</b>",hi],11:36am
653,"Anthony <b style=""color:green"">Mod</b>",hi],11:36am
654,"Anthony <b style=""color:green"">Mod</b>",hi,11:45am
655,"Anthony <b style=""color:green"">Mod</b>",hi,11:45am
656,itsme,hi,01:52pm
657,"Anthony <b style=""color:green"">Mod</b>",hi,11:53am
658,itsme,how are you?,01:55pm
659,"Anthony <b style=""color:green"">Mod</b>",good where is pepper ?,11:55am
660,itsme,dunno. he was on [WUT] world earlier,01:56pm
661,itsme,25 min. ago,01:56pm
662,"Anthony <b style=""color:green"">Mod</b>",where in [WUT] world,11:57am
663,itsme,comment section,01:57pm
664,itsme,here's the link https://studio.code.org/projects/applab/307ZOMkSuj8A6nSgGn_3E-tJTUcm4lhwFg-6rhIbVzs?post=662,01:58pm
665,"Anthony <b style=""color:green"">Mod</b>",Can you follow me please,11:58am
666,itsme,on what,01:58pm
667,"Anthony <b style=""color:green"">Mod</b>",[WUT] world ,11:58am
668,itsme,what's your username,01:59pm
669,"Anthony <b style=""color:green"">Mod</b>",My username is anthonythegoodhacker,11:59am
670,itsme,okay,01:59pm
671,itsme,i'm itsme and itsmywritingaccount,02:00pm
672,"Anthony <b style=""color:green"">Mod</b>",ok,00:00pm
673,itsme,i'm following you,02:00pm
674,"Anthony <b style=""color:green"">Mod</b>",yay you too,00:01pm
675,itsme,thanks,02:02pm
676,"Anthony <b style=""color:green"">Mod</b>",meet you there,00:03pm
677,itsme,okay,02:03pm
678,itsme,you there yet?,02:06pm
679,"Anthony <b style=""color:green"">Mod</b>",No it is loading,00:06pm
680,itsme,okay,02:07pm
681,pepper <a>Creator</a>,Hi,00:11pm
682,pepper <a>Creator</a>,Hi,00:11pm
683,"Anthony <b style=""color:green"">Mod</b>",It is the same chat,00:11pm
684,"Anthony <b style=""color:green"">Mod</b>",It is the same chat,00:11pm
685,"Anthony <b style=""color:green"">Mod</b>",oh hi,00:11pm
686,itsme,hi,02:11pm
687,itsme,pepper,02:11pm
688,pepper <a>Creator</a>,What? (Hi),00:12pm
689,itsme,anthony look up 'itsmywritingaccount' on [WUT[ World to find the story,02:12pm
690,itsme,"nothing, pepper.",02:13pm
691,Announcement,pepper <a>Creator</a> says: Hi,00:13pm
692,Announcement,pepper <a>Creator</a> says: #modoptions,00:13pm
693,"Anthony <b style=""color:green"">Mod</b>",ok,00:13pm
694,itsme,how do you announce?,02:13pm
695,Announcement,pepper <a>Creator</a> says: Mod features,00:14pm
696,pepper <a>Creator</a>,Bruh ,00:15pm
697,itsme,bruh what?,02:15pm
698,pepper <a>Creator</a>,Nothing,00:17pm
699,itsme,okay,02:17pm
700,"Anthony <b style=""color:green"">Mod</b>",hi,00:18pm
701,"Anthony <b style=""color:green"">Mod</b>",hiand bye,00:19pm
702,"Anthony <b style=""color:green"">Mod</b>",hiand bye,00:19pm
703,"Anthony <b style=""color:green"">Mod</b>",hiand bye,00:19pm
704,itsme,bye?,02:19pm
705,"Anthony <b style=""color:green"">Mod</b>",Can you follow me on your username It'smywritingaccount Thank you and please and bye I'm going to work,00:20pm
706,itsme,okay,02:20pm
707,pepper <a>Creator</a>,Only 0.0000002875% of the world saw my project,00:21pm
708,pepper <a>Creator</a>,Only 0.0000002875% of the world saw my project,00:21pm
709,"Anthony <b style=""color:green"">Mod</b>",i am going to WUT World chat bye i am going to meet you there,00:21pm
710,itsme,okay,02:21pm
711,pepper <a>Creator</a>,Ok,00:22pm
712,pepper <a>Creator</a>,:/,00:22pm
713,"Anthony <b style=""color:green"">Mod</b>",Go to the public chat,00:24pm
714,"Anthony <b style=""color:green"">Mod</b>",Go to the public chat,00:24pm
715,"Anthony <b style=""color:green"">Mod</b>",Go to the public chat,00:24pm
716,itsme,already there,02:24pm
717,itsme,hi,03:14pm
718,itsme,nobody here,03:33pm
719,pepper <a>Creator</a> ,Hi,01:48pm
720,"Anthony <b style=""color:green"">Mod</b>",bye need to go,00:28pm
721,"Anthony <b style=""color:green"">Mod</b>",bye need to go,00:28pm
722,Announcement,...,00:28pm
723,"Anthony <b style=""color:green"">Mod</b>",bye need to go,00:28pm
724,"Anthony <b style=""color:green"">Mod</b>",hi,02:31pm
725,pepper <a>Creator</a> ,hi,02:42pm
726,"Anthony <b style=""color:green"">Mod</b>",hi,02:46pm
727,"Anthony <b style=""color:green"">Mod</b>",hi,02:46pm
728,pepper <a>Creator</a> ,uh hi,02:47pm
729,pepper <a>Creator</a> ,i thought you were afk...,02:47pm
730,pepper <a>Creator</a> ,\,02:47pm
731,pepper <a>Creator</a> ,i just hacked into world chat,02:47pm
732,pepper <a>Creator</a> ,because their dumb app didnt work it was missing a table so yeah i added it.,02:48pm
733,"Anthony <b style=""color:green"">Mod</b>",how Did you hack it if it doesn't let  to hack,02:49pm
734,"Anthony <b style=""color:green"">Mod</b>",it,02:49pm
735,Announcement,"Anthony <b style=""color:green"">Mod</b> says: ",02:49pm
736,"Anthony <b style=""color:green"">Mod</b>",bruh,02:50pm
737,pepper <a>Creator</a> ,it lets me to hack,02:50pm
738,pepper <a>Creator</a> ,they are an older version,02:50pm
739,pepper <a>Creator</a> ,no __proto__,02:50pm
740,pepper <a>Creator</a> ,so i can,02:50pm
741,"Anthony <b style=""color:green"">Mod</b>",let me try,02:50pm
742,pepper <a>Creator</a> ,sFrCCkeZE87cvROeRF0p4gYCGEBkQ8itkK3ApTP2oJw,02:51pm
743,"Anthony <b style=""color:green"">Mod</b>",I will I promise I will do nothing,02:51pm
744,pepper <a>Creator</a> ,its not mine,02:51pm
745,pepper <a>Creator</a> ,its a remix of mine,02:51pm
746,pepper <a>Creator</a> ,silly to have no proto,02:51pm
747,"Anthony <b style=""color:green"">Mod</b>",This whole time it was your check,02:52pm
748,pepper <a>Creator</a> ,what do you mean,02:52pm
749,pepper <a>Creator</a> ,its world chat,02:52pm
750,pepper <a>Creator</a> ,i told yuba sansari that he cant remix and he ignored me,02:52pm
751,pepper <a>Creator</a> ,i havee a secret...,02:53pm
752,pepper <a>Creator</a> ,i wanna tell your,02:54pm
753,pepper <a>Creator</a> ,@pment <code>anthony</code>,02:55pm
754,pepper <a>Creator</a> ,@pment <code>anthony</code>,02:55pm
755,pepper <a>Creator</a> ,@pment <code>anthony</code>,02:55pm
756,pepper <a>Creator</a> ,are you tehre,02:55pm
757,"Anthony <b style=""color:green"">Mod</b>",what is @pment,02:56pm
758,pepper <a>Creator</a> ,pepper mention,02:56pm
759,pepper <a>Creator</a> ,PepperMENTion,02:57pm
760,pepper <a>Creator</a> ,oh should i tell you the secret,02:57pm
761,"Anthony <b style=""color:green"">Mod</b>",yes pls,02:57pm
762,pepper <a>Creator</a> ,ok don't tell this to anyone,02:57pm
763,pepper <a>Creator</a> ,do you promise me?,02:57pm
764,"Anthony <b style=""color:green"">Mod</b>",yes i will,02:58pm
765,pepper <a>Creator</a> ,ok,02:58pm
766,pepper <a>Creator</a> ,so i noticed someone kept changing the number of views in World Chat down,02:58pm
767,"Anthony <b style=""color:green"">Mod</b>",who is it,02:59pm
768,pepper <a>Creator</a> ,"like it was 60, then 57, then 54, then 50, then 44, then 43, then 42, then 39",02:59pm
769,pepper <a>Creator</a> ,now its 36,02:59pm
770,pepper <a>Creator</a> ,i didnt tell yubasansari to have REVENGE,02:59pm
771,pepper <a>Creator</a> ,i mean i didnt tell him about the problem,03:00pm
772,pepper <a>Creator</a> ,i mean i didnt tell him about the problem,03:00pm
773,pepper <a>Creator</a> ,you there?,03:03pm
774,"Anthony <b style=""color:green"">Mod</b>",yes,03:03pm
775,pepper <a>Creator</a> ,yeah,03:04pm
776,pepper <a>Creator</a> ,********************************************************************************,03:04pm
777,"Anthony <b style=""color:green"">Mod</b>",What is it and what is it username,03:05pm
778,pepper <a>Creator</a> ,,03:06pm
779,pepper <a>Creator</a> ,i was thinking of them SO MUCH that i accidentally logged in,03:07pm
780,pepper <a>Creator</a> ,i was thinking of them SO MUCH that i accidentally logged in,03:07pm
781,pepper <a>Creator</a> ,Hi,08:39am
782,itsme,hi,11:04am
783,"Anthony <b style=""color:green"">Mod</b>",hi,09:29am
784,pepper <a>Creator</a> ,Hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,10:15am
785,"Anthony <b style=""color:green"">Mod</b>",hi,10:16am
786,pepper <a>Creator</a> ,What’s up,10:16am
787,"Anthony <b style=""color:green"">Mod</b>",good,10:16am
788,pepper <a>Creator</a> ,Yesterday at wutworld I changed my rip badge to rickroll badge :D,10:17am
789,"Anthony <b style=""color:green"">Mod</b>",ok,10:17am
790,pepper <a>Creator</a> ,wutadam joked that I don’t have badge,10:18am
791,"Anthony <b style=""color:green"">Mod</b>",ok\,10:19am
792,pepper <a>Creator</a> ,"Rickroll nameplate cost ? Dollars, but you’ll have to get 15k first in repep",10:19am
793,pepper <a>Creator</a> ,I mean rep,10:19am
794,"Anthony <b style=""color:green"">Mod</b>",ohhh,10:20am
795,"Anthony <b style=""color:green"">Mod</b>",okkk,10:21am
796,"Cq <b style=""color:green"">Mod</b>",Sorry :( Getting a cat today lol,01:21pm
797,"Anthony <b style=""color:green"">Mod</b>",it ok,10:22am
798,"Cq <b style=""color:green"">Mod</b>",:),01:22pm
799,"Anthony <b style=""color:green"">Mod</b>",bye i i going to eat breakfast,10:22am
800,pepper <a>Creator</a> ,That changing name badge thingy meant I cheated for ricknoll thingy for prob 1k coins so I changed it back :) haha,10:23am
801,"Cq <b style=""color:green"">Mod</b>",>:o I eat lunch,01:23pm
802,pepper <a>Creator</a> ,That changing name badge thingy meant I cheated for ricknoll thingy for prob 1k coins so I changed it back :) haha,10:23am
803,pepper <a>Creator</a> ,That changing name badge thingy meant I cheated for ricknoll thingy for prob 1k coins so I changed it back :) haha,10:23am
804,"Cq <b style=""color:green"">Mod</b>",mew,01:23pm
805,pepper <a>Creator</a> ,hi cq,10:25am
806,"Cq <b style=""color:green"">Mod</b>",Hello,01:25pm
807,pepper <a>Creator</a> ,this is the first time two mods come together,10:25am
808,"Cq <b style=""color:green"">Mod</b>",Sorry for being offline :/ got grounded for being depressed lol,01:25pm
809,pepper <a>Creator</a> ,W,10:25am
810,pepper <a>Creator</a> ,WH,10:25am
811,pepper <a>Creator</a> ,WHA,10:25am
812,pepper <a>Creator</a> ,WHAT,10:25am
